RF,BF,VM,ST,target
0.0045,-0.0023,0,-0.003,normal
0.0052,-0.0015,0.0007,-0.003,normal
0.006,0,0.0015,-0.0038,normal
0.0045,-0.0008,0.0015,-0.0068,normal
0.0052,0.0015,-0.0008,-0.0075,normal
0.0067,0.0015,-0.0015,-0.0083,normal
0.0052,0.0022,-0.0023,-0.0113,normal
0.003,0.0015,-0.0015,-0.0128,normal
0.003,0.0007,0,-0.0143,normal
0.003,-0.0008,-0.0015,-0.0165,normal
0.003,-0.0008,-0.0008,-0.0165,normal
0.0037,0,-0.0008,-0.0165,normal
0.0022,-0.0038,0,-0.0181,normal
0.0007,-0.0038,-0.0008,-0.0195,normal
0.0007,-0.0038,-0.0023,-0.0195,normal
-0.0008,-0.0046,0.0015,-0.0203,normal
0,-0.0015,-0.0008,-0.0181,normal
0,-0.003,-0.0015,-0.0165,normal
0.0015,-0.0038,0.0007,-0.0165,normal
0.003,-0.0015,0.0015,-0.0165,normal
0.0015,-0.0008,0.0022,-0.0165,normal
0.0052,-0.0008,0.0015,-0.0165,normal
0.0045,-0.0023,0,-0.0143,normal
-0.0008,-0.003,0.0007,-0.012,normal
-0.0008,-0.0008,0,-0.0128,normal
-0.0015,-0.0008,-0.0008,-0.0143,normal
-0.0008,-0.0023,0.0022,-0.0135,normal
0.0022,-0.0015,0.0022,-0.0143,normal
0.0045,-0.0023,0.0045,-0.0143,normal
0.0015,-0.0046,0.006,-0.015,normal
0,-0.0038,0.0052,-0.0165,normal
0,-0.0038,0.0052,-0.0165,normal
-0.0023,-0.0023,0.0045,-0.0158,normal
0.0007,0,0.0045,-0.0203,normal
0.0007,-0.0008,0.0037,-0.0248,normal
0.0007,-0.0015,0.0045,-0.0248,normal
0.0045,-0.0046,0.003,-0.024,normal
0.0007,-0.0053,0,-0.0218,normal
-0.0015,-0.0075,0.0007,-0.0181,normal
-0.0008,-0.0105,0.0015,-0.012,normal
-0.003,-0.0075,0.0015,-0.0068,normal
-0.0015,-0.0083,0.0015,-0.003,normal
0.0015,-0.0068,0.0007,-0.0038,normal
0.006,-0.0053,0.0007,-0.003,normal
0.0075,-0.0053,-0.0008,-0.0023,normal
0.0067,-0.003,0,-0.003,normal
0.006,-0.003,0.0045,-0.0038,normal
0.0052,-0.0015,0.0052,-0.003,normal
0.0082,-0.0015,0.0052,-0.0015,normal
0.009,-0.0015,0.0045,-0.0038,normal
0.0097,-0.0008,0.0045,-0.006,normal
0.0127,0,0.0067,-0.0068,normal
0.0127,0.0007,0.0067,-0.0075,normal
0.0157,0.0015,0.0045,-0.0105,normal
0.0135,0.0015,0.0015,-0.0143,normal
0.0097,-0.0015,0.0007,-0.0143,normal
0.0082,0,0.0007,-0.0143,normal
0.009,-0.0008,0.0015,-0.0135,normal
0.0067,-0.0008,0,-0.0105,normal
-0.0008,0.0015,0.0007,-0.0083,normal
0.0007,0.0015,0.0015,-0.0091,normal
-0.0015,0.003,-0.0015,-0.0091,normal
-0.0023,0.0015,-0.003,-0.0053,normal
0.0007,0.003,-0.0046,-0.006,normal
-0.0008,0.0015,-0.0015,-0.0053,normal
-0.0008,0.0037,-0.0008,-0.0046,normal
0.0037,0.0045,-0.0015,-0.0015,normal
-0.0008,0.0022,-0.0015,-0.0023,normal
-0.0023,0.003,-0.0023,-0.0015,normal
-0.0015,-0.0008,0.0007,0,normal
-0.0008,-0.0008,0.0007,0.0015,normal
0.0007,0,0.0007,0.0015,normal
-0.0015,-0.0008,0.0022,-0.0008,normal
-0.0015,0.0007,0,0.0015,normal
-0.0015,0,-0.0008,0.0015,normal
0.0007,0,0.0007,0.003,normal
-0.0053,0.0007,0.0007,0.003,normal
-0.0068,0.0007,0.0022,0.0022,normal
-0.0046,0.0007,0.003,0.0037,normal
-0.0053,-0.0008,0.0015,0.0015,normal
0.0015,-0.0008,0.0015,0,normal
0.003,0,-0.0008,-0.003,normal
0.0037,0.0007,-0.0023,-0.0046,normal
0.0052,0.0015,-0.0008,-0.0053,normal
0.0022,0.0007,0.0015,-0.0083,normal
-0.0023,0.0007,0.0007,-0.0128,normal
-0.0023,0.0007,0.0022,-0.0158,normal
-0.0008,-0.0008,0.0022,-0.0173,normal
-0.0038,-0.0008,0,-0.0188,normal
0,0,0.0015,-0.0203,normal
0.0015,0,0.0007,-0.0195,normal
-0.0008,-0.0008,0.003,-0.0203,normal
0.0022,0.0015,0.0067,-0.0233,normal
0.003,0.003,0.0022,-0.0248,normal
0.0045,0.0015,0.0015,-0.027,normal
0.0075,0.0015,0.0015,-0.0256,normal
0.003,-0.0008,0.0015,-0.0248,normal
-0.0008,-0.0015,0,-0.0218,normal
-0.0023,-0.0015,-0.0008,-0.0203,normal
-0.0008,-0.0015,0.0007,-0.0218,normal
-0.0008,-0.0023,-0.0015,-0.0218,normal
-0.003,-0.0015,-0.0015,-0.021,normal
0.0015,-0.0008,0.0007,-0.0181,normal
0.003,-0.003,0.0007,-0.0181,normal
0.0052,-0.003,0.0007,-0.015,normal
0.012,-0.0015,0.0022,-0.012,normal
0.0142,0.0007,0.0045,-0.0083,normal
0.0135,0.0007,0.0045,-0.0046,normal
0.0052,0,0.003,0.0015,normal
0.003,0.0007,0.003,0.0075,normal
0.0075,0.003,0.0037,0.0127,normal
0.0075,0.0052,0.0015,0.021,normal
0.012,0.006,0.0022,0.0217,normal
0.012,0.0052,0.0015,0.024,normal
0.009,0.006,0,0.0277,normal
0.0045,0.0045,0,0.0277,normal
0.0015,0.003,0.0007,0.0292,normal
0.0052,0.003,-0.0008,0.0292,normal
0.0007,0.003,-0.0008,0.0307,normal
-0.0015,0.003,-0.0008,0.0307,normal
-0.003,0.0015,0,0.0315,normal
-0.0068,-0.0008,0.0007,0.033,normal
-0.0068,0.0007,-0.0008,0.033,normal
-0.0068,0.0015,-0.0008,0.0315,normal
-0.0046,0.0022,0.0007,0.0307,normal
0.0007,0.0007,0,0.024,normal
0.0007,-0.0015,0,0.018,normal
0.0007,-0.0008,0.0007,0.0142,normal
-0.0008,-0.0023,-0.0015,0.0082,normal
-0.0038,-0.0053,-0.0015,0.006,normal
-0.0038,-0.003,-0.0008,0.0052,normal
-0.0068,-0.0046,-0.0008,0.009,normal
-0.0038,-0.0038,-0.0015,0.0142,normal
-0.0015,0,-0.0008,0.0157,normal
-0.0015,-0.003,0,0.018,normal
0.0015,-0.0015,0.0015,0.018,normal
-0.0008,-0.0015,0.0022,0.018,normal
0.0007,0,0.003,0.0195,normal
0.003,0.0045,0.003,0.0232,normal
0.003,0.0067,0.0015,0.0255,normal
0.0052,0.009,-0.0008,0.0277,normal
0.0067,0.006,-0.0015,0.03,normal
0.0045,0.0067,0.0015,0.0292,normal
0.003,0.0037,0.0015,0.027,normal
0.0067,0.0007,-0.0008,0.0307,normal
0.0015,0.0022,0,0.036,normal
-0.0015,0.0007,0.0007,0.0322,normal
-0.0008,0.0007,0.0007,0.0262,normal
-0.0015,-0.0015,-0.0015,0.0232,normal
0.0015,-0.0015,-0.0046,0.0255,normal
0.0007,0.0022,-0.0046,0.0225,normal
0,-0.0008,-0.003,0.0217,normal
0.0045,-0.0023,-0.0008,0.0217,normal
0.0075,-0.0015,0,0.0202,normal
0.0075,-0.0008,-0.0008,0.0195,normal
0.0067,0,-0.0015,0.0135,normal
0.0022,-0.0015,-0.0008,0.0105,normal
-0.0008,-0.003,0,0.0097,normal
-0.0038,-0.0075,-0.0008,0.0067,normal
-0.0083,-0.006,-0.0008,0.0082,normal
-0.0053,-0.0046,-0.0008,0.0112,normal
0.0037,-0.0015,-0.0015,0.009,normal
0.0067,0.0007,0.0007,0.0097,normal
0.0082,-0.0008,-0.0015,0.0135,normal
0.009,0.0015,-0.0023,0.012,normal
0.0105,0.0015,0.0015,0.0097,normal
0.0112,0.0007,0.0007,0.0082,normal
0.0082,0.0015,0.003,0.0082,normal
0.0082,0.0015,0.0015,0.0082,normal
0.0045,0.0022,-0.0008,0.0097,normal
0.0015,0.0007,0.0007,0.0097,normal
0.0015,0.0007,-0.0008,0.0112,normal
-0.0038,0,0,0.0157,normal
-0.003,0.0015,0,0.0142,normal
-0.0008,0,-0.0015,0.0105,normal
0,-0.0008,-0.0023,0.0082,normal
-0.0015,0.0015,-0.003,0.0052,normal
-0.0008,0.0007,0,0.0007,normal
0.0022,0.0015,0.0007,-0.0008,normal
0.0045,0.003,0.0007,-0.0015,normal
0.0105,0.0022,-0.0008,-0.0015,normal
0.012,0.0037,-0.0008,-0.003,normal
0.0082,0.0007,-0.003,-0.0053,normal
0.0067,-0.0015,-0.003,-0.0075,normal
0.0052,-0.003,-0.003,-0.0105,normal
-0.0008,-0.003,-0.0038,-0.0105,normal
0.0015,-0.003,-0.0015,-0.0143,normal
-0.0008,-0.0015,-0.0015,-0.0195,normal
-0.0015,0.0015,0,-0.0181,normal
0.0007,0.0015,-0.0008,-0.015,normal
0,-0.0015,-0.0015,-0.0113,normal
-0.0008,-0.003,0.0007,-0.006,normal
-0.0008,-0.003,0.0007,-0.006,normal
-0.0015,-0.003,0.0007,-0.0113,normal
-0.0023,-0.0015,0.0007,-0.0091,normal
-0.0015,0,0.0007,-0.0046,normal
-0.0046,-0.0015,0,-0.003,normal
-0.0046,0.0007,-0.0008,-0.0128,normal
-0.003,0.003,-0.0015,-0.0368,normal
-0.0023,0.0007,0.0007,-0.0383,normal
-0.003,-0.0008,0.0037,0.0015,normal
0.0015,0.0022,0.0045,0.03,normal
0.0045,-0.0008,0.0045,0.0202,normal
0.0045,-0.0046,0.003,0.003,normal
0.0082,-0.0023,0.0022,0.0105,normal
0.0037,0.0037,0.003,0.027,normal
0.0045,0.0135,0.0015,0.0195,normal
0.0045,0.0097,-0.0008,0.009,normal
0.0037,0.0022,-0.0015,0.0075,normal
0.006,0.003,-0.0015,0.018,normal
0.003,0.0007,0,0.0382,normal
0.003,-0.0046,-0.0008,0.0427,normal
0.0015,-0.0075,-0.0008,0.0442,normal
0.0007,-0.0083,-0.0008,0.0292,normal
-0.0038,-0.0098,-0.0008,0.0142,normal
-0.0038,-0.0105,0.0007,0.003,normal
-0.003,-0.0128,0.0007,-0.0195,normal
-0.006,-0.012,0.0007,-0.027,normal
-0.0046,-0.0091,0,-0.039,normal
-0.0046,-0.003,-0.0008,-0.0383,normal
-0.0053,0.0105,-0.0015,-0.0308,normal
-0.0015,0.0195,-0.003,-0.0293,normal
-0.0015,0.015,-0.003,-0.006,normal
-0.0015,0.0067,-0.0038,0.0262,normal
0.0015,-0.0015,-0.0008,0.0232,normal
0.0015,-0.0015,-0.0015,0.0037,normal
0.003,0.0015,-0.0038,0.0082,normal
0.0015,-0.003,-0.0038,-0.0165,normal
0.0015,-0.0113,-0.0015,-0.027,normal
0.003,-0.0128,-0.0008,-0.0015,normal
0.0015,-0.0083,-0.003,-0.0181,normal
0.0052,-0.0038,-0.0015,-0.0173,normal
0.0037,-0.0015,-0.0023,-0.0263,normal
0.0015,0.0022,-0.0038,-0.0593,normal
0.0007,0.003,0.0007,-0.0278,normal
0.0015,0.0052,0.006,0.0712,normal
0.0022,-0.0068,0.0082,0.1327,normal
0.0015,-0.0308,0.009,0.0735,normal
0.0007,-0.0361,0.009,-0.003,normal
-0.003,-0.0113,0.0075,-0.063,normal
-0.0015,0.0202,0.0037,-0.099,normal
0.003,0.0195,0.0007,-0.1163,normal
0.0007,0.0015,-0.003,-0.1125,normal
0.0015,-0.0105,-0.003,-0.0915,normal
-0.0008,-0.012,-0.0053,-0.0278,normal
-0.003,-0.0046,-0.0038,0.0427,normal
0.0007,-0.0008,0.0015,0.057,normal
0.0015,0.0127,0.006,0.1087,normal
0.0045,0.0367,0.0082,0.0615,normal
0.0052,0.0532,0.0067,-0.0653,normal
0.0075,0.0255,0.0022,-0.0555,normal
0.009,-0.0015,0.0007,-0.0203,normal
0.0127,-0.006,0.0015,0.0255,normal
0.0135,-0.0165,0.0007,0.0727,normal
0.0097,-0.0225,0,0.0292,normal
0.009,-0.0278,0.0015,-0.0105,normal
0.0067,-0.0285,0.0015,-0.0113,normal
0.006,-0.0203,0,-0.0091,normal
0.0082,0.0082,0.0007,-0.0233,normal
0.0075,0.027,-0.0008,-0.06,normal
0.0052,0.0052,-0.003,-0.0938,normal
0.003,0.0045,-0.0038,-0.147,normal
0.0022,0.0127,-0.0046,-0.1463,normal
-0.0023,0.03,-0.0046,-0.1013,normal
-0.0015,0.0465,0.0007,-0.0293,normal
0.009,0.0375,0.0022,0.0105,normal
0.0112,0.0367,0.0022,-0.048,normal
0.006,0.0405,0.0045,0.0075,normal
0.0075,0.027,0.0037,0.0705,normal
0.006,-0.0008,0.0082,0.0577,normal
0.0082,-0.0346,0.0097,0.0262,normal
0.0082,-0.0533,0.0082,-0.0233,normal
-0.003,-0.0458,0.0052,-0.0308,normal
-0.0053,-0.027,0.006,-0.0593,normal
-0.0015,-0.0135,0.0052,-0.0706,normal
-0.0053,-0.0135,-0.0015,-0.084,normal
-0.0053,-0.0353,-0.0068,-0.123,normal
0.0105,-0.0308,-0.0091,-0.0871,normal
0.0045,0.0082,-0.012,-0.0503,normal
-0.0008,0.009,-0.0135,-0.1155,normal
0.0015,-0.0098,-0.0135,-0.1613,normal
-0.0075,-0.0315,-0.0113,-0.1575,normal
-0.0008,-0.0203,-0.0091,-0.0428,normal
-0.0008,0.0135,-0.0046,0.1327,normal
0,0.0127,0.0037,0.1372,normal
0.0015,-0.0008,0.0142,0.1365,normal
0.0045,-0.0165,0.0232,0.2077,normal
0.0022,-0.0098,0.0285,0.2565,normal
-0.0015,-0.0346,0.0307,0.2422,normal
0.0052,-0.06,0.0315,0.1042,normal
0.0037,-0.033,0.024,0.0225,normal
0.0015,0.0165,0.0127,0.0127,normal
-0.0015,0.0885,0.0045,0.012,normal
-0.0008,0.096,-0.0038,-0.012,normal
0.0052,0.066,-0.0105,-0.0353,normal
0.0067,0.0367,-0.0158,0.003,normal
0.0067,0.0135,-0.0165,0.0157,normal
0.0052,0.0202,-0.0105,0.0412,normal
0.0022,0.006,-0.0075,0.0532,normal
-0.0015,0.0015,-0.0053,0.0712,normal
-0.0015,-0.0165,-0.0046,0.0802,normal
-0.003,-0.03,-0.0046,0.0472,normal
-0.006,-0.0278,-0.003,-0.0285,normal
-0.0015,-0.0315,-0.0008,-0.1088,normal
0.0007,-0.0128,-0.003,-0.0518,normal
0.0007,-0.0105,-0.003,-0.012,normal
0.003,0.0037,-0.0046,-0.0225,normal
0.003,0.0292,-0.0053,-0.0068,normal
0.0045,0.0255,-0.0075,-0.0091,normal
0.003,0.0052,-0.0068,-0.0053,normal
0.003,-0.0015,-0.0053,-0.0091,normal
-0.0008,-0.003,-0.0053,-0.0083,normal
-0.003,-0.0098,-0.003,-0.003,normal
-0.003,-0.0083,-0.0038,-0.003,normal
-0.0053,-0.0098,-0.0046,0.0045,normal
-0.006,-0.0053,-0.0046,0.0075,normal
-0.0105,-0.006,-0.0038,0.0127,normal
-0.0135,-0.0053,-0.003,0.0165,normal
-0.012,-0.0038,-0.0038,0.0172,normal
-0.0128,-0.006,-0.003,0.0195,normal
-0.0135,-0.0046,-0.003,0.0217,normal
-0.0068,-0.006,-0.0015,0.0232,normal
-0.0038,-0.006,0.003,0.027,normal
-0.0023,-0.0113,0.003,0.0277,normal
-0.0015,-0.0128,0.003,0.0307,normal
-0.0053,-0.0135,-0.0008,0.0315,normal
-0.0046,-0.0143,-0.003,0.0352,normal
-0.006,-0.0135,-0.0046,0.0412,normal
-0.0053,-0.0181,-0.0046,0.0427,normal
-0.003,-0.0165,-0.003,0.0525,normal
-0.0046,-0.012,-0.006,0.0645,normal
-0.003,-0.0128,-0.0083,0.0555,normal
-0.0038,-0.0053,-0.0083,0.0217,normal
-0.0015,0.0187,-0.0083,0.0172,normal
-0.0015,0.0307,-0.006,0.0217,normal
-0.0038,0.0007,-0.0046,-0.0405,normal
0.0007,-0.0368,-0.0015,-0.0728,normal
0.003,-0.0383,0.0045,0.042,normal
0.0075,-0.0518,0.0052,0.126,normal
0.0082,-0.0495,0.0007,0.0817,normal
0.0105,-0.0195,-0.0008,0.0382,normal
0.0135,0.0217,-0.0038,-0.039,normal
0.0105,0.1057,-0.003,-0.0825,normal
0.009,0.1207,-0.0008,-0.045,normal
0.0082,0.1027,0.0022,0.0375,normal
0.0127,0.093,0.003,0.1095,normal
0.0142,0.0615,0.006,0.1342,normal
0.015,0.09,0.0082,0.1147,normal
0.0165,0.0795,0.0075,0.0427,normal
0.0157,0.0547,0.0082,0.018,normal
0.0172,0.0532,0.009,0.0345,normal
0.021,0.0562,0.0105,0.099,normal
0.0217,0.0547,0.0052,0.1162,normal
0.0195,-0.0075,0.0052,0.096,normal
0.0202,-0.0278,0.0052,0.0772,normal
0.018,-0.0495,0.0007,0.039,normal
0.0157,-0.0638,0.0015,0.027,normal
0.0135,-0.06,0.003,-0.006,normal
0.0105,-0.0713,0.0052,-0.0046,normal
0.0045,-0.0675,0.0067,0.012,normal
0.0007,-0.0698,0.009,0.0315,normal
0.0015,-0.0593,0.009,0.0412,normal
-0.0008,-0.0495,0.006,0.0187,normal
-0.003,-0.024,0.0045,0.0015,normal
-0.0008,-0.003,0.0022,-0.0113,normal
0,0.003,0.0022,-0.0165,normal
-0.0023,-0.003,0.0015,-0.0225,normal
-0.0046,-0.0105,-0.0008,-0.0233,normal
-0.0053,0.0082,-0.003,-0.0248,normal
-0.006,0.0022,-0.0015,-0.027,normal
-0.006,-0.0083,-0.0015,-0.033,normal
-0.0068,-0.012,-0.0038,-0.0353,normal
-0.0068,-0.0158,-0.0053,-0.0383,normal
-0.0068,-0.0143,-0.0053,-0.042,normal
-0.0068,-0.0135,-0.0053,-0.045,normal
-0.006,-0.0105,-0.0046,-0.0503,normal
-0.0053,-0.012,-0.0046,-0.0518,normal
-0.0023,-0.0158,-0.0046,-0.0555,normal
-0.003,-0.0158,0,-0.0578,normal
-0.0038,-0.0098,-0.0015,-0.0608,normal
-0.0008,-0.0046,-0.0008,-0.0638,normal
-0.0015,-0.0015,0,-0.0675,normal
-0.0046,-0.006,-0.003,-0.0691,normal
-0.0053,-0.0091,-0.003,-0.0668,normal
-0.0075,-0.0165,-0.0046,-0.0691,normal
-0.0091,-0.0233,-0.0008,-0.0706,normal
-0.0053,-0.024,0.0015,-0.0683,normal
-0.003,-0.03,-0.0008,-0.0668,normal
-0.0015,-0.0315,0.0015,-0.0758,normal
-0.0015,-0.033,-0.0015,-0.078,normal
0,-0.0158,-0.003,-0.0653,normal
-0.0015,0.0172,-0.0038,-0.0623,normal
-0.0046,0.0585,-0.0046,-0.0518,normal
-0.0015,0.0682,-0.003,-0.0518,normal
-0.0015,0.0255,-0.0038,-0.06,normal
-0.0008,0.009,-0.003,-0.0555,normal
0.003,-0.0091,-0.0075,-0.0645,normal
0.0022,-0.0278,-0.0083,-0.0698,normal
0.0015,-0.0278,-0.0083,-0.0743,normal
0.0015,-0.0413,-0.0083,-0.0818,normal
0.0007,-0.0346,-0.0083,-0.0938,normal
0.0007,-0.0278,-0.0068,-0.0968,normal
